Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
Vulgar,2000,R,26 Apr 2002,87,"Crime, Drama, Thriller",English,,5.3,"3,876",tt0120467,movie,Lions Gate Films,120000,14904,-87.58
Out of the Furnace,2013,R,06 Dec 2013,116,"Action, Crime, Drama, Thriller",English,2 wins & 9 nominations.,6.8,"103,339",tt1206543,movie,Relativity Media,22000000,15400000,-30.0
Coyote Ugly,2000,PG-13,04 Aug 2000,100,"Comedy, Drama, Music, Romance",English,4 wins & 8 nominations.,5.7,"104,644",tt0200550,movie,Buena Vista,45000000,113916474,153.15
Parental Guidance,2012,PG,25 Dec 2012,105,"Comedy, Family",English,1 win & 4 nominations.,6.0,"24,453",tt1047540,movie,20th Century Fox,25000000,119772232,379.09
Raising Helen,2004,PG-13,28 May 2004,119,"Comedy, Drama, Romance",English,1 nomination.,6.0,"34,868",tt0350028,movie,Buena Vista Pictures,50000000,49718611,-0.56
Escape Plan,2013,R,18 Oct 2013,115,"Action, Thriller","English, German, Arabic, Urdu",2 nominations.,6.7,"222,463",tt1211956,movie,Summit Entertainment,50000000,122915111,145.83
Fair Game,1995,R,03 Nov 1995,91,"Action, Romance, Thriller","English, Russian",4 nominations.,4.3,"11,848",tt0113010,movie,Warner Home Video,50000000,11534477,-76.93
The Girlfriend Experience,2009,R,08 Jul 2009,77,Drama,"English, French",1 nomination.,5.5,"15,619",tt1103982,movie,Magnolia Pictures,1700000,1007962,-40.71
She's the Man,2006,PG-13,17 Mar 2006,105,"Comedy, Romance, Sport",English,2 wins & 5 nominations.,6.3,"142,680",tt0454945,movie,DreamWorks SKG,20000000,33889159,69.45
Analyze This,1999,R,05 Mar 1999,103,"Comedy, Crime",English,Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,6.7,"143,019",tt0122933,movie,Warner Bros. Pictures,80000000,176885658,121.11
Fifty Shades Darker,2017,R,10 Feb 2017,118,"Drama, Romance",English,3 wins & 12 nominations.,4.6,"88,555",tt4465564,movie,Universal Pictures,55000000,378827494,588.78
Star Trek,2009,PG-13,08 May 2009,127,"Action, Adventure, Sci-Fi",English,Won 1 Oscar. Another 24 wins & 93 nominations.,7.9,"569,689",tt0796366,movie,IMAX,150000000,385680446,157.12
Sleepers,1996,R,18 Oct 1996,147,"Crime, Drama, Thriller",English,Nominated for 1 Oscar. Another 1 win & 4 nominations.,7.6,"182,661",tt0117665,movie,Warner Bros. Pictures,44000000,165615285,276.4
Ben-Hur,2016,PG-13,19 Aug 2016,123,"Action, Adventure, Drama, History","English, Persian, Greek, Arabic",2 wins & 3 nominations.,5.7,"40,445",tt2638144,movie,Paramount Pictures,100000000,94061311,-5.94
Living in Oblivion,1995,R,21 Jul 1995,90,"Comedy, Drama",English,7 wins & 7 nominations.,7.5,"15,918",tt0113677,movie,Sony Pictures Home Entertainment,500000,1148752,129.75
What Women Want,2000,PG-13,15 Dec 2000,127,"Comedy, Fantasy, Romance",English,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,6.4,"187,739",tt0207201,movie,Paramount Pictures,70000000,374111707,434.45
Point Break,1991,R,12 Jul 1991,122,"Action, Crime, Thriller",English,1 win & 2 nominations.,7.3,"150,813",tt0102685,movie,Twentieth Century Fox Home Entertainment,24000000,83531958,248.05
Sex Tape,2014,R,18 Jul 2014,94,"Comedy, Romance","English, Ukrainian",2 wins & 3 nominations.,5.1,"105,241",tt1956620,movie,Sony Pictures,40000000,126069509,215.17
Sully,2016,PG-13,09 Sep 2016,96,"Biography, Drama",English,Nominated for 1 Oscar. Another 14 wins & 34 nominations.,7.4,"226,655",tt3263904,movie,Warner Bros.,60000000,240797623,301.33
Focus,2015,R,27 Feb 2015,105,"Comedy, Crime, Drama, Romance","English, Spanish",3 nominations.,6.6,"209,202",tt2381941,movie,Warner Bros. Pictures,50100000,153962963,207.31
