Budget,IMDB ID,Revenue
7000000,tt0097758,793775
70000000,tt0096754,90000098
6000000,tt0091763,138530565
25000000,tt0095953,354825435
28000000,tt0092644,299965036
15000000,tt0098206,30050028
8000000,tt0097179,8143225
10000000,tt0097257,3916303
16000000,tt0098635,92823546
22500000,tt0097027,18671317
37000000,tt0097428,215394738
24000000,tt0097770,22099847
55000000,tt0098439,63408614
30000000,tt0096933,134212055
160000,tt0098213,6706368
1800000,tt0087800,25504513
13000000,tt0098536,71079915
12000,tt0069089,6000000
16400000,tt0097165,235860116
40000000,tt0096874,332000000
14000000,tt0096969,161001698
11500000,tt0098084,57469467
2000000,tt0098577,725131
17000000,tt0091635,6735922
10000000,tt0100514,21633874
11000000,tt0100814,48572000
1500000,tt0092675,65000000
33000000,tt0098575,1132112
7000000,tt0099817,9229401
28000000,tt0095016,140767956
7500000,tt0097239,145793296
3000000,tt0097889,1145404
25000000,tt0097737,15704614
5000000,tt0098320,16554699
18000000,tt0098282,46908987
19000000,tt0098273,110879513
13800000,tt0096787,27100027
645180,tt0097937,14743391
3000000,tt0073486,108981275
11000000,tt0097815,49797148
18000000,tt0097523,222724172
8000000,tt0097981,22168359
23000000,tt0100680,5820015
1500000,tt0100053,5585154
10000000,tt0099739,47410000
30000000,tt0097481,60864870
12000000,tt0095705,78756177
2500000,tt0097240,4729352
1558000,tt0044391,3373000
19000000,tt0097123,18254702
18000000,tt0097441,26828365
11000000,tt0100260,8862354
6500000,tt0098627,30218387
20000000,tt0097626,7237794
855,tt0099039,855810
25000000,tt0097733,227853986
1000000,tt0047396,36764313
26000000,tt0098621,160188546
30000000,tt0099810,200512643
3000000,tt0089686,29999213
28000000,tt0096463,103173635
12000000,tt0099991,1531489
2500000,tt0099800,26386000
25000000,tt0099892,39404261
500000,tt0100332,3779620
35000000,tt0096895,411348924
31000000,tt0096794,74134790
2500000,tt0095488,1189315
14000000,tt0100405,463000000
19000000,tt0089218,61503218
13500000,tt0100758,201965915
22000000,tt0099348,424208848
5200000,tt0099277,2459895
7500000,tt0097778,296000000
11000000,tt0099329,8266343
47000000,tt0099422,103738726
27000000,tt0097958,71319546
10000000,tt0099578,22424195
7000000,tt0095742,72500000
24000000,tt0095253,43455230
6000000,tt0091209,5844868
3000000,tt0100666,15369573
3500000,tt0100740,16324573
6000000,tt0064115,102308889
9000000,tt0082089,24058838
5000000,tt0095271,17768757
878000,tt0034583,10462500
1300000,tt0075314,28262574
1920000,tt0049778,3360000
1800000,tt0072890,46665856
16000000,tt0096978,67878
20000000,tt0099141,138700000
1000000,tt0099939,2554476
9500000,tt0100935,14560247
15000000,tt0098554,79258538
12000000,tt0097967,15942628
10000000,tt0096928,40485039
40000000,tt0099088,244527583
65000000,tt0100802,261317921
15000000,tt0093773,98267558
2500000,tt0099611,205068
30000000,tt0098382,70200000
32000000,tt0097742,156167015
39000000,tt0094898,288752301
6000000,tt0100029,24271196
38000000,tt0099044,153518974
100000,tt0066765,7000
9000000,tt0067093,83304330
10000000,tt0086984,8801940
5000000,tt0092857,6880310
2000000,tt0061811,27379978
22000000,tt0085255,42313354
18000000,tt0097570,3531971
50000000,tt0099700,41482207
35000000,tt0100502,45681173
28000000,tt0082398,195312802
34000000,tt0079574,210308099
60000000,tt0099371,157920733
5000000,tt0096913,1700000
25000000,tt0094226,76270454
70000000,tt0099423,240031094
40000000,tt0097757,211343479
6000000,tt0098663,14278900
4500000,tt0094919,3813293
14000000,tt0076752,185438673
2800000,tt0097940,1544973
49000000,tt0098987,20423389
12000000,tt0095774,7242035
22000000,tt0099653,505000000
15000000,tt0100449,15260154
15000000,tt0083944,125212904
31000000,tt0099052,53208180
22000000,tt0100404,221303188
27000000,tt0093894,38122105
23000,tt0102943,1228108
5000000,tt0097474,11642254
22700000,tt0094012,38119483
10000000,tt0100168,16153593
225000,tt0100142,2900000
70000000,tt0096438,329803958
19000000,tt0100828,10005969
26000000,tt0099582,61489265
25000000,tt0088103,5778353
4500000,tt0080453,58853106
16000000,tt0099365,48878502
1752000,tt0043014,5000000
6400000,tt0088247,78371200
1500000,tt0097659,14697005
8000000,tt0093638,2877571
25000000,tt0099685,46836394
22000000,tt0100395,39071603
4000000,tt0099385,16853487
1500000,tt0099740,5728953
4000000,tt0031381,402352579
14000000,tt0100150,5080409
17000000,tt0094008,10278549
18000000,tt0099409,2742912
12000000,tt0100114,46044400
36000000,tt0086006,160000000
3000000,tt0097493,1108462
20000000,tt0100201,15379253
4200000,tt0100258,5835247
32000000,tt0100240,16283667
25000000,tt0100594,2075084
10500000,tt0099697,11582891
25000000,tt0099871,25965144
11500000,tt0099612,334748
5000000,tt0100129,485772
13000000,tt0099253,35763605
18000000,tt0099785,476684675
37931000,tt0100477,47431461
42000000,tt0100507,119946358
35000000,tt0100403,57120318
7500000,tt0095958,796368
20000000,tt0100157,61276872
6000000,tt0068646,245066411
20000000,tt0099487,53000000
3000000,tt0095294,12090735
40000000,tt0099747,9243140
31000000,tt0100140,35419397
6500000,tt0064757,81974493
54000000,tt0099674,136766062
25000000,tt0099018,6939946
47000000,tt0099165,15691192
15000000,tt0099938,201957688
5500000,tt0059800,141195658
20000000,tt0082198,79114085
15000000,tt0092099,356830601
5000000,tt0097100,1919653
250000,tt0102687,609524
7000000,tt0098622,9094451
19000000,tt0102945,174999005
29000000,tt0101912,22773535
35000000,tt0099587,14587732
14000000,tt0103247,34793160
19000000,tt0102926,272742922
24000000,tt0102685,83531958
16000000,tt0102818,4409328
2500000,tt0102494,6401336
11000000,tt0078748,104931801
40000000,tt0102558,8479793
40000000,tt0089092,12303411
3000000,tt0102849,9563393
38000000,tt0101761,34416893
6000000,tt0105597,64532
4000000,tt0101597,259012
8500000,tt0102526,47624253
10000000,tt0102655,14061361
20000000,tt0103125,418807
25000000,tt0103060,78656813
4000000,tt0079470,20045115
6000000,tt0101545,11336986
46630000,tt0096764,8083123
26000000,tt0102411,12454768
70000000,tt0102057,300854823
14000000,tt0102614,39673161
6788000,tt0101775,13878334
35000000,tt0102603,23562716
8000000,tt0102749,10400000
14000000,tt0102175,32482682
13000000,tt0102395,3752426
35000000,tt0103241,63710000
9000000,tt0101410,6153939
7000000,tt0102116,191125
16000000,tt0103074,45361000
65000000,tt0102070,17218080
75000000,tt0101393,152368585
200000,tt0104109,300000
18500000,tt0090605,183316455
10000000,tt0101757,25196249
27000000,tt0101587,179033791
6000000,tt0101412,869325
48000000,tt0102798,390493908
42000000,tt0102803,62000000
23000000,tt0102510,86930411
2900000,tt0042332,263591415
6244087,tt0065214,638641
102000000,tt0103064,520000000
25000000,tt0102768,43001500
6500000,tt0101507,57504069
17000000,tt0101786,4603929
12000000,tt0101746,38120905
23000000,tt0102460,20246790
26000000,tt0102059,181096164
15000000,tt0101764,30102717
18000000,tt0102802,11657385
11000000,tt0102782,2807854
18000000,tt0101701,5546827
17010000,tt0102729,24941969
10000000,tt0101455,8667684
8000000,tt0102915,2275557
23000000,tt0102005,7434726
1400000,tt0102898,115103
13000000,tt0103956,20560255
11000000,tt0101917,34872033
24000000,tt0101889,41895491
7500000,tt0102753,6266621
34000000,tt0102631,18634643
16000000,tt0094631,32155047
25000000,tt0101414,377350553
14000000,tt0091149,38625550
22000000,tt0103007,11000863
11000000,tt0103003,8000000
1227401,tt0102757,1277401
3500000,tt0102536,2015810
35000000,tt0101540,182300000
30000000,tt0102034,15556340
22000000,tt0102900,11511031
1000000,tt0084887,3000000
6000000,tt0101615,1193062
400000,tt0071853,5028948
9000000,tt0104418,26055
40000000,tt0101902,23202444
30000000,tt0101272,191502426
17000000,tt0102492,59489799
900000,tt0104841,80000
14000000,tt0105378,2735731
36000000,tt0101373,1345903
27000000,tt0102975,96900000
30000000,tt0101516,49114016
29000000,tt0102266,59509925
40000000,tt0102138,205405498
30000000,tt0102713,74787599
11000000,tt0101921,119418501
11700000,tt0104389,88036683
5000000,tt0104573,20146880
1200000,tt0105236,2859750
900000,tt0106557,6980986
10000000,tt0088944,57500000
40000000,tt0104839,45500797
20000000,tt0105793,183097323
19000000,tt0088763,381109762
35000000,tt0105211,4651977
8000000,tt0104454,26126837
40000000,tt0104850,14358033
10000000,tt0104692,32101000
18000000,tt0101371,6375979
11000000,tt0104952,64088552
12000000,tt0105017,2280148
49000000,tt0103772,352927224
1488423,tt0029583,184925486
8000000,tt0105151,21706101
24000000,tt0104254,32710894
15000000,tt0105428,30524763
27000000,tt0103976,14683921
7000000,tt0105459,5430822
10000000,tt0105665,4160851
3000000,tt0105488,33946224
35000000,tt0104714,321731527
50000000,tt0103644,159773545
60000000,tt0104231,137783840
31000000,tt0105417,231605150
812000,tt0033563,1600000
45000000,tt0105112,178051587
80000000,tt0103776,280000000
23000000,tt0105699,57138719
40000000,tt0103859,70100000
40000000,tt0104694,132440069
30000000,tt0104009,14110589
5000000,tt0104779,1862805
40000000,tt0104437,58662452
30,tt0104804,4
6000000,tt0081283,54766923
17000000,tt0104897,40227006
7000000,tt0103893,16624456
55000000,tt0104070,149022650
4000000,tt0046183,87404651
6500000,tt0103596,29000301
12000000,tt0105217,37170057
14000000,tt0105695,159157447
3000000,tt0103873,242623
25000000,tt0105466,10736401
17000000,tt0104107,4836637
16000000,tt0105414,48017402
13000000,tt0104376,3721911
10000000,tt0105219,14356479
25000000,tt0104438,35
8000000,tt0105128,17092453
4000000,tt0107756,5377643
145000,tt0263388,345000
3705538,tt0104036,62548947
11000000,tt0105078,1659542
250000,tt0105508,340147
29000000,tt0105824,5519569
5000000,tt0104409,12534961
6000000,tt0103919,25792310
12500000,tt0104348,10725228
1000000,tt0103759,2019469
130000,tt0103977,799674
24000000,tt0103924,22518097
40000000,tt0104691,75505856
8000000,tt0106950,6739141
10000000,tt0104868,50752337
35000000,tt0105690,156563139
47000000,tt0103594,7191399
11000000,tt0106308,21502976
12000000,tt0105265,43440294
18000000,tt0104006,21591728
20000000,tt0087843,5472914
15000000,tt0105104,44065653
20000000,tt0104549,11390479
28000000,tt0103639,504050219
