Title,Year,Rated,Released,Runtime,Genre,Language,Awards,Metascore,imdbRating,imdbVotes,imdbID,Type,BoxOffice,Production
City of Lost Angels,2004,N/A,N/A,114 min,Documentary,English,N/A,N/A,N/A,N/A,tt1537232,movie,N/A,N/A
I.W.S.,1995,N/A,N/A,N/A,Short,English,N/A,N/A,N/A,N/A,tt0229468,movie,N/A,N/A
Chaplin Anniversary Edition: Strolling Into the Sunset,2008,N/A,14 Oct 2008,7 min,"Documentary, Short",English,N/A,N/A,8.0,11,tt1422625,movie,N/A,N/A
Filthy Talkin' Cocksuckers 4,1999,N/A,N/A,90 min,Adult,English,N/A,N/A,N/A,N/A,tt0302563,movie,N/A,N/A
Hybrid,1997,R,03 Dec 1998,86 min,"Horror, Sci-Fi",English,N/A,N/A,3.1,512,tt0119339,movie,N/A,N/A
The Abduction Application,2012,N/A,17 Jan 2012,105 min,Action,English,N/A,N/A,N/A,N/A,tt2290701,movie,N/A,N/A
Sewer Baby,2018,NOT RATED,20 May 2020,100 min,Sci-Fi,English,N/A,N/A,N/A,N/A,tt5859934,movie,N/A,N/A
1321,2015,N/A,31 May 2015,15 min,"Short, Thriller",English,N/A,N/A,N/A,N/A,tt4773800,movie,N/A,N/A
When the Train Stops,2019,N/A,24 Mar 2019,20 min,"Short, Drama",English,N/A,N/A,N/A,N/A,tt7150510,movie,N/A,N/A
valid_ids = ['tt1233170', 'tt2646234', 'tt5781368', 'tt1537232', 'tt4244292', 'tt0625058', 'tt2632738', 'tt0675517', 'tt0765185', 'tt0277951', 'tt0229468', 'tt4148554', 'tt1143453', 'tt5769916', 'tt0897138', 'tt0730669', 'tt1669911', 'tt0771342', 'tt0314710', 'tt1422625', 'tt2158308', 'tt9645352', 'tt3617162', 'tt5701212', 'tt4550868', 'tt0302563', 'tt4121008', 'tt1276601', 'tt1654259', 'tt0729403', 'tt0119339', 'tt2290701', 'tt6423686', 'tt5859934', 'tt4582016', 'tt1815219', 'tt4773800', 'tt7150510', 'tt5264700', 'tt2008069', 'tt2395023', 'tt2562676', 'tt2128580', 'tt3072098']
